TAS,Air Pressure,Altitude Radar,Eng 1 Torque,Eng 2 Torque,Ground Speed,Local Hour,Local Minute,Local Second,Vertical Speed,Transcripts,Crew,Ai Pressure
0,,0,0,0.0625,0,20,10,46,0,"""Up Left Rear""",LB,-156
0,,0,0,0.0625,0,20,10,58,0,"""All right starters dropped guys, we got a ggod start, we got pressure, pressure, pressure coming hot on two""",DS,-158
0,,0,0,0.0625,0,20,11,2,0,"""Clear on 2""",TF,-160
0,,0,0,0.0625,0,20,11,7,0,"""Engage ????""",DS,-161
0,,0,11.6875,0.0625,0,20,11,13,0,"""I'm gonna dump fuel, you ready boss, here we go""",DS,-160
0,,0,11.4375,0.0625,0,20,11,15,0,"""I'm ready""",WG,-161
0,,0,9.625,5.9375,0,20,11,26,-16,"""?????and enter""",DS,-163
0,,0,9.0625,5.5625,0,20,11,30,0,"""Pressure on the rise we got it good, there she goes, about 60 starter dropped out, Hey, were above 63, within 3, without avoidance ranges, 20, 40, 60, 90 we have adequate oil pressure, transmission oil pressure, two hydraulic lights are extinguished, back up pump is coming to auto, guys if you all would""",DS,-164
0,,0,9.0625,5.375,0,20,11,31,0,"""Coming in on the left""",LB,-163
0,,0,8.9375,5.4375,0,20,11,32,0,"""Coming auto""",DS,-165
0,,0,8.625,5.6875,0,20,11,34,0,"""Chocks, droops and doors""",DS,-163
0,,-1,8.25,4.6875,0,20,11,42,0,"""Roger""",LB,-160
0,,-1,14,9.9375,0,20,11,44,0,"""There goes the droop""",TF,-158
0,,-1,13.875,11,0,20,11,45,0,"""Roger Bro""",DS,-158
0,,-1,15.5,12,0,20,11,46,0,"""Pull the chock""",LB,-158
0,,-1,36.8125,25.625,0,20,11,53,96,"""Coming in right""",TF,-159
0,,-1,37.5625,38.375,0,20,11,56,48,"""One and two 20 fly, were in direct, were 1335 on fuel""",DS,-158
0,,-1,19.0625,19.9375,0,20,12,27,16,"""Well we're all ready to rock in the back""",LB,-161
0,,-1,18.8125,19.8125,0,20,12,30,16,"""Alright""",WG,-162
0,,-1,18.6875,19.6875,0,20,12,31,48,"""Mike""",DS,-162
0,,-1,19,19.875,0,20,12,33,-32,"""Brakes whnever you are ready G Wayne""",DS,-162
0,,-1,19.375,20.25,0,20,12,35,-32,"""Brakes to release, waiting on number uh, Chalk 2 to start, they are still fucking off over there.""",WG,-162
0,,-1,18.8125,19.4375,0,20,12,41,64,"""Right Before Takeoff still good""",DS,-168
0,,-1,19.1875,20.0625,0,20,12,42,0,"""Secure Right Rear""",TF,-169
0,,-1,18.9375,19.8125,0,20,12,44,48,"""PAX Secure""",TF,-167
0,,-1,18.3125,19.5625,0,20,12,46,288,"""Ready Left Rear""",LB,-159
0,,-1,18.8125,19.4375,0,20,12,56,80,"""Clear the FCC flight codes""",WG,-171
0,,-1,18.8125,19.6875,0,20,12,58,160,"""All right I'm sorry""",DS,-166
0,,-1,19.125,19.9375,0,20,12,59,128,"""Alright I did it""",WG,-169
0,,-1,18.8125,19.5,0,20,13,30,-32,"""Alright they are starting to crank now""",WG,-170
0,,-1,18.9375,19.6875,0,20,13,36,-64,"""Dave can you get that APU off""",WG,-168
0,,-1,19.125,19.5625,0,20,13,42,128,"""Not the Generator, there ya go""",WG,-159
0,,-1,19.0625,19.6875,0,20,14,6,96,"""Hey, we got the same guy we had on the headset all day?""",DS,-167
0,,-1,18.5625,19.5625,0,20,14,10,48,"""Yeah, on the headset""",TF,-163
0,,-1,18.875,19.5625,0,20,14,11,112,"""OK, on""",DS,-162
0,,-1,18.9375,19.3125,0,20,14,15,-64,"""Yep, I'm here""",,-164
0,,-1,19.125,19.9375,0,20,14,18,64,"""Ah""",DS,-161
0,-168,-1,18.6875,19.5,0,20,14,19,0,"""It's gonna be a little bit slower, I'll give you a 30, a one minute and a thirty if you are cool with that""",DS,
0,-167,-1,18.4375,19.125,0,20,14,24,-80,"""Yep, sounds good""",,
0,-171,-1,19.4375,20.6875,0,20,14,28,80,"""We got flames coming out if that exhaust man""",WG,
0,-167,-1,18.5625,19.25,0,20,14,50,16,"""And if you can again, just like the other night, about 15 feet off the water""",,
0,-169,-1,19.125,19.5625,0,20,14,53,0,"""Bout 15 feet, roger""",WG,
0,-166,-1,18.8125,19.9375,0,20,15,15,-16,"""That's Purdy""",LB,
0,-168,-1,19,19.8125,0,20,15,21,-16,"""Sand is making some sparks in that rotor system over there""",TF,
0,-168,-1,19.125,19.4375,0,20,15,24,16,"""Yeah it is""",WG,
0,-170,-1,19,19.5625,0,20,15,27,-128,"""St Elmos fire""",TF,
